Pavard?     Vardas             Galutinis
Pavarde259  Vardas259               7.92
Pavarde260  Vardas260               8.96
Pavarde261  Vardas261               8.08
Pavarde262  Vardas262               9.28
Pavarde264  Vardas264               7.56
Pavarde267  Vardas267               5.60
Pavarde269  Vardas269               9.44
Pavarde271  Vardas271               5.12
Pavarde272  Vardas272               8.16
Pavarde275  Vardas275               7.12
Pavarde277  Vardas277               7.76
Pavarde278  Vardas278               6.72
Pavarde281  Vardas281               7.28
Pavarde283  Vardas283               6.56
Pavarde291  Vardas291               7.12
Pavarde294  Vardas294               5.52
Pavarde296  Vardas296               6.88
Pavarde298  Vardas298               5.04
Pavarde299  Vardas299               5.56
Pavarde301  Vardas301               8.24
Pavarde302  Vardas302               6.28
Pavarde304  Vardas304               5.96
Pavarde306  Vardas306               5.68
Pavarde311  Vardas311               6.72
Pavarde317  Vardas317               6.84
Pavarde319  Vardas319               5.84
Pavarde320  Vardas320               8.96
Pavarde322  Vardas322               6.88
Pavarde324  Vardas324               5.28
Pavarde326  Vardas326               7.24
Pavarde327  Vardas327               5.00
Pavarde330  Vardas330               7.32
Pavarde331  Vardas331               5.20
Pavarde333  Vardas333               9.04
Pavarde334  Vardas334               7.56
Pavarde335  Vardas335               5.92
Pavarde337  Vardas337               5.00
Pavarde338  Vardas338               8.08
Pavarde342  Vardas342               7.44
Pavarde347  Vardas347               6.80
Pavarde349  Vardas349               8.08
Pavarde351  Vardas351               6.08
Pavarde356  Vardas356               6.16
Pavarde360  Vardas360               5.40
Pavarde361  Vardas361               7.12
Pavarde366  Vardas366               7.68
Pavarde367  Vardas367               7.20
Pavarde368  Vardas368               6.04
Pavarde370  Vardas370               6.08
Pavarde372  Vardas372               5.88
Pavarde373  Vardas373               6.88
Pavarde374  Vardas374               6.04
Pavarde376  Vardas376               8.24
Pavarde380  Vardas380               6.48
Pavarde381  Vardas381               6.28
Pavarde382  Vardas382               6.68
Pavarde383  Vardas383               6.24
Pavarde385  Vardas385               6.64
Pavarde386  Vardas386               8.52
Pavarde387  Vardas387               7.32
Pavarde388  Vardas388               6.12
Pavarde389  Vardas389               5.84
Pavarde393  Vardas393               8.44
Pavarde395  Vardas395               6.28
Pavarde398  Vardas398               6.20
Pavarde400  Vardas400               6.76
Pavarde401  Vardas401               6.40
Pavarde406  Vardas406               6.44
Pavarde407  Vardas407               5.36
Pavarde410  Vardas410               6.16
Pavarde413  Vardas413               6.32
Pavarde414  Vardas414               6.52
Pavarde417  Vardas417               6.36
Pavarde418  Vardas418               6.20
Pavarde420  Vardas420               7.76
Pavarde423  Vardas423               5.92
Pavarde425  Vardas425               8.12
Pavarde428  Vardas428               8.96
Pavarde430  Vardas430               5.12
Pavarde431  Vardas431               6.12
Pavarde432  Vardas432               7.60
Pavarde433  Vardas433               8.32
Pavarde434  Vardas434               5.80
Pavarde435  Vardas435               7.44
Pavarde446  Vardas446               8.36
Pavarde447  Vardas447               7.20
Pavarde448  Vardas448               8.52
Pavarde453  Vardas453               8.44
Pavarde455  Vardas455               7.92
Pavarde458  Vardas458               5.52
Pavarde459  Vardas459               5.56
Pavarde460  Vardas460               6.68
Pavarde462  Vardas462               8.24
Pavarde465  Vardas465               6.52
Pavarde469  Vardas469               5.48
Pavarde474  Vardas474               8.48
Pavarde475  Vardas475               6.36
Pavarde476  Vardas476               6.04
Pavarde478  Vardas478               5.36
Pavarde481  Vardas481               5.28
Pavarde485  Vardas485               6.84
Pavarde486  Vardas486               5.68
Pavarde489  Vardas489               6.04
Pavarde496  Vardas496               5.40
Pavarde497  Vardas497               7.16
Pavarde498  Vardas498               6.56
Pavarde500  Vardas500               5.56
Pavarde503  Vardas503               6.44
Pavarde504  Vardas504               6.56
Pavarde505  Vardas505               5.84
Pavarde506  Vardas506               7.60
Pavarde508  Vardas508               8.56
Pavarde510  Vardas510               8.64
Pavarde512  Vardas512               6.88
Pavarde513  Vardas513               6.04
Pavarde515  Vardas515               8.24
Pavarde516  Vardas516               5.28
Pavarde518  Vardas518               9.20
Pavarde521  Vardas521               7.96
Pavarde523  Vardas523               6.28
Pavarde524  Vardas524               5.24
Pavarde525  Vardas525               6.56
Pavarde529  Vardas529               7.36
Pavarde531  Vardas531               7.56
Pavarde533  Vardas533               7.28
Pavarde536  Vardas536               6.12
Pavarde537  Vardas537               7.16
Pavarde539  Vardas539               7.76
Pavarde541  Vardas541               7.76
Pavarde542  Vardas542               5.68
Pavarde545  Vardas545               7.64
Pavarde547  Vardas547               7.72
Pavarde548  Vardas548               5.60
Pavarde549  Vardas549               7.60
Pavarde551  Vardas551               8.56
Pavarde555  Vardas555               7.52
Pavarde557  Vardas557               5.52
Pavarde559  Vardas559               6.24
Pavarde560  Vardas560               8.08
Pavarde561  Vardas561               8.12
Pavarde564  Vardas564               7.04
Pavarde565  Vardas565               5.28
Pavarde566  Vardas566               7.20
Pavarde567  Vardas567               6.08
Pavarde570  Vardas570               5.16
Pavarde571  Vardas571               5.84
Pavarde572  Vardas572               6.00
Pavarde573  Vardas573               5.52
Pavarde574  Vardas574               8.24
Pavarde577  Vardas577               6.72
Pavarde578  Vardas578               6.48
Pavarde579  Vardas579               5.28
Pavarde580  Vardas580               6.56
Pavarde583  Vardas583               5.88
Pavarde584  Vardas584               5.80
Pavarde586  Vardas586               5.52
Pavarde587  Vardas587               5.76
Pavarde589  Vardas589               6.96
Pavarde590  Vardas590               6.48
Pavarde591  Vardas591               6.56
Pavarde593  Vardas593               7.24
Pavarde595  Vardas595               8.24
Pavarde598  Vardas598               6.08
Pavarde599  Vardas599               5.88
Pavarde602  Vardas602               7.24
Pavarde604  Vardas604               5.28
Pavarde605  Vardas605               6.64
Pavarde608  Vardas608               8.48
Pavarde610  Vardas610               5.84
Pavarde612  Vardas612               8.84
Pavarde614  Vardas614               7.84
Pavarde615  Vardas615               7.60
Pavarde616  Vardas616               5.80
Pavarde618  Vardas618               5.28
Pavarde620  Vardas620               7.12
Pavarde621  Vardas621               7.76
Pavarde624  Vardas624               6.16
Pavarde625  Vardas625               8.20
Pavarde629  Vardas629               7.92
Pavarde631  Vardas631               7.00
Pavarde632  Vardas632               6.92
Pavarde633  Vardas633               7.40
Pavarde634  Vardas634               8.08
Pavarde636  Vardas636               6.52
Pavarde638  Vardas638               7.76
Pavarde639  Vardas639               5.84
Pavarde643  Vardas643               8.40
Pavarde644  Vardas644               5.24
Pavarde645  Vardas645               8.32
Pavarde647  Vardas647               8.48
Pavarde650  Vardas650               6.36
Pavarde652  Vardas652               5.44
Pavarde655  Vardas655               7.52
Pavarde656  Vardas656               7.44
Pavarde658  Vardas658               6.52
Pavarde659  Vardas659               7.68
Pavarde661  Vardas661               5.24
Pavarde663  Vardas663               6.48
Pavarde664  Vardas664               8.08
Pavarde665  Vardas665               7.16
Pavarde667  Vardas667               5.92
Pavarde669  Vardas669               6.80
Pavarde670  Vardas670               6.72
Pavarde673  Vardas673               5.28
Pavarde675  Vardas675               5.80
Pavarde676  Vardas676               7.32
Pavarde678  Vardas678               5.00
Pavarde680  Vardas680               7.28
Pavarde682  Vardas682               7.48
Pavarde683  Vardas683               5.96
Pavarde684  Vardas684               7.84
Pavarde685  Vardas685               7.72
Pavarde689  Vardas689               5.48
Pavarde691  Vardas691               6.48
Pavarde693  Vardas693               8.24
Pavarde694  Vardas694               5.40
Pavarde695  Vardas695               7.84
Pavarde697  Vardas697               5.32
Pavarde701  Vardas701               8.16
Pavarde702  Vardas702               7.56
Pavarde703  Vardas703               5.04
Pavarde706  Vardas706               7.20
Pavarde708  Vardas708               5.68
Pavarde710  Vardas710               7.64
Pavarde712  Vardas712               6.84
Pavarde713  Vardas713               7.20
Pavarde715  Vardas715               7.60
Pavarde718  Vardas718               6.16
Pavarde720  Vardas720               6.88
Pavarde722  Vardas722               5.44
Pavarde723  Vardas723               5.36
Pavarde725  Vardas725               7.24
Pavarde727  Vardas727               7.04
Pavarde728  Vardas728               6.36
Pavarde732  Vardas732               6.08
Pavarde735  Vardas735               5.92
Pavarde737  Vardas737               7.36
Pavarde738  Vardas738               8.00
Pavarde740  Vardas740               5.72
Pavarde741  Vardas741               8.40
Pavarde744  Vardas744               7.44
Pavarde746  Vardas746               5.36
Pavarde748  Vardas748               7.00
Pavarde751  Vardas751               7.00
Pavarde752  Vardas752               7.52
Pavarde753  Vardas753               6.56
Pavarde754  Vardas754               5.84
Pavarde758  Vardas758               7.28
Pavarde759  Vardas759               7.68
Pavarde761  Vardas761               8.08
Pavarde762  Vardas762               5.60
Pavarde767  Vardas767               6.96
Pavarde768  Vardas768               8.36
Pavarde769  Vardas769               6.40
Pavarde770  Vardas770               5.20
Pavarde771  Vardas771               5.76
Pavarde775  Vardas775               5.84
Pavarde781  Vardas781               6.68
Pavarde782  Vardas782               5.32
Pavarde784  Vardas784               5.20
Pavarde786  Vardas786               6.00
Pavarde793  Vardas793               7.28
Pavarde794  Vardas794               6.04
Pavarde795  Vardas795               6.40
Pavarde796  Vardas796               6.12
Pavarde797  Vardas797               5.20
Pavarde798  Vardas798               5.72
Pavarde799  Vardas799               8.16
Pavarde800  Vardas800               7.92
Pavarde802  Vardas802               6.40
Pavarde805  Vardas805               5.56
Pavarde809  Vardas809               7.48
Pavarde813  Vardas813               7.32
Pavarde814  Vardas814               6.40
Pavarde819  Vardas819               8.40
Pavarde820  Vardas820               5.12
Pavarde822  Vardas822               5.12
Pavarde824  Vardas824               8.52
Pavarde826  Vardas826               8.08
Pavarde827  Vardas827               6.44
Pavarde828  Vardas828               5.84
Pavarde829  Vardas829               5.24
Pavarde830  Vardas830               6.04
Pavarde832  Vardas832               6.04
Pavarde834  Vardas834               6.08
Pavarde841  Vardas841               5.68
Pavarde842  Vardas842               8.60
Pavarde844  Vardas844               7.24
Pavarde849  Vardas849               8.08
Pavarde850  Vardas850               6.48
Pavarde851  Vardas851               7.20
Pavarde855  Vardas855               5.00
Pavarde856  Vardas856               5.56
Pavarde859  Vardas859               7.32
Pavarde861  Vardas861               5.36
Pavarde862  Vardas862               7.92
Pavarde863  Vardas863               5.72
Pavarde867  Vardas867               5.92
Pavarde868  Vardas868               8.32
Pavarde870  Vardas870               8.36
Pavarde873  Vardas873               7.64
Pavarde874  Vardas874               7.08
Pavarde876  Vardas876               7.72
Pavarde877  Vardas877               8.12
Pavarde879  Vardas879               6.36
Pavarde881  Vardas881               5.72
Pavarde883  Vardas883               6.76
Pavarde885  Vardas885               5.68
Pavarde890  Vardas890               6.28
Pavarde896  Vardas896               7.68
Pavarde898  Vardas898               6.80
Pavarde906  Vardas906               7.92
Pavarde907  Vardas907               6.32
Pavarde908  Vardas908               7.64
Pavarde909  Vardas909               8.20
Pavarde913  Vardas913               6.16
Pavarde914  Vardas914               6.60
Pavarde916  Vardas916               7.52
Pavarde917  Vardas917               6.44
Pavarde918  Vardas918               8.80
Pavarde919  Vardas919               6.72
Pavarde920  Vardas920               8.20
Pavarde921  Vardas921               6.04
Pavarde922  Vardas922               6.80
Pavarde924  Vardas924               5.68
Pavarde925  Vardas925               6.76
Pavarde927  Vardas927               5.68
Pavarde931  Vardas931               5.08
Pavarde932  Vardas932               6.60
Pavarde933  Vardas933               6.32
Pavarde934  Vardas934               6.84
Pavarde935  Vardas935               7.16
Pavarde937  Vardas937               5.68
Pavarde938  Vardas938               5.00
Pavarde940  Vardas940               7.56
Pavarde941  Vardas941               6.12
Pavarde945  Vardas945               6.80
Pavarde947  Vardas947               5.24
Pavarde948  Vardas948               6.52
Pavarde949  Vardas949               8.56
Pavarde950  Vardas950               7.68
Pavarde951  Vardas951               6.56
Pavarde952  Vardas952               8.64
Pavarde953  Vardas953               8.12
Pavarde955  Vardas955               7.68
Pavarde956  Vardas956               7.40
Pavarde961  Vardas961               7.64
Pavarde962  Vardas962               6.04
Pavarde963  Vardas963               7.16
Pavarde968  Vardas968               6.24
Pavarde970  Vardas970               7.24
Pavarde971  Vardas971               6.48
Pavarde973  Vardas973               6.88
Pavarde975  Vardas975               6.16
Pavarde977  Vardas977               5.32
Pavarde980  Vardas980               7.28
Pavarde984  Vardas984               6.12
Pavarde985  Vardas985               7.84
Pavarde986  Vardas986               6.04
Pavarde988  Vardas988               5.04
Pavarde992  Vardas992               5.96
Pavarde994  Vardas994               5.28
Pavarde999  Vardas999               7.08
Pavarde1000 Vardas1000              5.12
Pavarde1001 Vardas1001              5.72
Pavarde1003 Vardas1003              7.08
Pavarde1005 Vardas1005              6.12
Pavarde1006 Vardas1006              8.08
Pavarde1008 Vardas1008              8.08
Pavarde1009 Vardas1009              7.20
Pavarde1010 Vardas1010              6.92
Pavarde1011 Vardas1011              5.56
Pavarde1012 Vardas1012              5.72
Pavarde1014 Vardas1014              7.48
Pavarde1015 Vardas1015              5.24
Pavarde1019 Vardas1019              7.24
Pavarde1022 Vardas1022              7.60
Pavarde1027 Vardas1027              6.44
Pavarde1029 Vardas1029              6.48
Pavarde1032 Vardas1032              5.64
Pavarde1036 Vardas1036              7.64
Pavarde1037 Vardas1037              7.32
Pavarde1039 Vardas1039              5.84
Pavarde1041 Vardas1041              6.92
Pavarde1042 Vardas1042              7.32
Pavarde1045 Vardas1045              5.00
Pavarde1051 Vardas1051              5.08
Pavarde1052 Vardas1052              8.40
Pavarde1053 Vardas1053              6.68
Pavarde1060 Vardas1060              6.76
Pavarde1061 Vardas1061              6.60
Pavarde1063 Vardas1063              6.12
Pavarde1064 Vardas1064              8.24
Pavarde1066 Vardas1066              6.40
Pavarde1067 Vardas1067              6.52
Pavarde1070 Vardas1070              5.40
Pavarde1071 Vardas1071              8.36
Pavarde1072 Vardas1072              5.32
Pavarde1075 Vardas1075              6.16
Pavarde1076 Vardas1076              6.04
Pavarde1078 Vardas1078              7.52
Pavarde1079 Vardas1079              5.48
Pavarde1082 Vardas1082              6.24
Pavarde1086 Vardas1086              6.76
Pavarde1087 Vardas1087              5.76
Pavarde1088 Vardas1088              5.08
Pavarde1089 Vardas1089              8.28
Pavarde1090 Vardas1090              7.68
Pavarde1091 Vardas1091              6.00
Pavarde1094 Vardas1094              7.76
Pavarde1095 Vardas1095              5.36
Pavarde1096 Vardas1096              6.20
Pavarde1097 Vardas1097              7.80
Pavarde1100 Vardas1100              5.24
Pavarde1102 Vardas1102              7.36
Pavarde1103 Vardas1103              7.24
Pavarde1112 Vardas1112              6.36
Pavarde1113 Vardas1113              6.24
Pavarde1114 Vardas1114              5.12
Pavarde1115 Vardas1115              5.60
Pavarde1116 Vardas1116              7.40
Pavarde1118 Vardas1118              6.24
Pavarde1120 Vardas1120              5.88
Pavarde1121 Vardas1121              6.52
Pavarde1123 Vardas1123              8.48
Pavarde1124 Vardas1124              5.36
Pavarde1125 Vardas1125              5.76
Pavarde1126 Vardas1126              7.84
Pavarde1127 Vardas1127              6.36
Pavarde1130 Vardas1130              5.28
Pavarde1134 Vardas1134              5.40
Pavarde1136 Vardas1136              5.76
Pavarde1138 Vardas1138              5.64
Pavarde1139 Vardas1139              7.44
Pavarde1140 Vardas1140              5.28
Pavarde1141 Vardas1141              7.64
Pavarde1150 Vardas1150              8.20
Pavarde1153 Vardas1153              5.00
Pavarde1156 Vardas1156              6.08
Pavarde1157 Vardas1157              5.36
Pavarde1158 Vardas1158              7.60
Pavarde1159 Vardas1159              7.40
Pavarde1160 Vardas1160              5.04
Pavarde1162 Vardas1162              7.72
Pavarde1166 Vardas1166              6.24
Pavarde1167 Vardas1167              6.40
Pavarde1168 Vardas1168              6.04
Pavarde1170 Vardas1170              7.00
Pavarde1171 Vardas1171              6.60
Pavarde1175 Vardas1175              7.36
Pavarde1177 Vardas1177              8.72
Pavarde1178 Vardas1178              5.80
Pavarde1181 Vardas1181              5.76
Pavarde1187 Vardas1187              7.72
Pavarde1188 Vardas1188              8.32
Pavarde1189 Vardas1189              8.32
Pavarde1191 Vardas1191              6.16
Pavarde1192 Vardas1192              8.24
Pavarde1193 Vardas1193              7.32
Pavarde1198 Vardas1198              5.04
Pavarde1200 Vardas1200              5.36
Pavarde1203 Vardas1203              7.36
Pavarde1204 Vardas1204              6.88
Pavarde1206 Vardas1206              5.48
Pavarde1207 Vardas1207              5.28
Pavarde1209 Vardas1209              6.60
Pavarde1212 Vardas1212              6.32
Pavarde1213 Vardas1213              7.36
Pavarde1215 Vardas1215              5.64
Pavarde1216 Vardas1216              7.56
Pavarde1218 Vardas1218              6.00
Pavarde1219 Vardas1219              6.36
Pavarde1220 Vardas1220              6.16
Pavarde1221 Vardas1221              7.68
Pavarde1227 Vardas1227              7.60
Pavarde1228 Vardas1228              7.28
Pavarde1230 Vardas1230              6.08
Pavarde1232 Vardas1232              5.68
Pavarde1233 Vardas1233              7.08
Pavarde1235 Vardas1235              5.56
Pavarde1237 Vardas1237              5.28
Pavarde1239 Vardas1239              6.32
Pavarde1242 Vardas1242              5.64
Pavarde1243 Vardas1243              5.36
Pavarde1244 Vardas1244              7.00
Pavarde1245 Vardas1245              6.88
Pavarde1247 Vardas1247              7.32
Pavarde1248 Vardas1248              6.56
Pavarde1252 Vardas1252              5.48
Pavarde1253 Vardas1253              6.52
Pavarde1254 Vardas1254              5.76
Pavarde1257 Vardas1257              8.56
Pavarde1259 Vardas1259              6.68
Pavarde1261 Vardas1261              6.12
Pavarde1268 Vardas1268              5.60
Pavarde1271 Vardas1271              7.84
Pavarde1272 Vardas1272              5.56
Pavarde1273 Vardas1273              5.80
Pavarde1274 Vardas1274              5.12
Pavarde1277 Vardas1277              6.40
Pavarde1278 Vardas1278              7.56
Pavarde1281 Vardas1281              7.64
Pavarde1284 Vardas1284              6.24
Pavarde1286 Vardas1286              5.72
Pavarde1287 Vardas1287              7.00
Pavarde1290 Vardas1290              7.24
Pavarde1291 Vardas1291              7.04
Pavarde1293 Vardas1293              7.40
Pavarde1294 Vardas1294              8.68
Pavarde1295 Vardas1295              8.72
Pavarde1304 Vardas1304              6.92
Pavarde1311 Vardas1311              7.84
Pavarde1314 Vardas1314              5.36
Pavarde1315 Vardas1315              6.92
Pavarde1316 Vardas1316              7.32
Pavarde1317 Vardas1317              6.48
Pavarde1319 Vardas1319              7.72
Pavarde1321 Vardas1321              7.56
Pavarde1324 Vardas1324              7.32
Pavarde1326 Vardas1326              9.12
Pavarde1327 Vardas1327              7.44
Pavarde1328 Vardas1328              6.68
Pavarde1333 Vardas1333              7.76
Pavarde1337 Vardas1337              8.64
Pavarde1338 Vardas1338              5.32
Pavarde1340 Vardas1340              6.28
Pavarde1342 Vardas1342              5.80
Pavarde1343 Vardas1343              8.40
Pavarde1350 Vardas1350              5.48
Pavarde1352 Vardas1352              6.36
Pavarde1353 Vardas1353              6.08
Pavarde1355 Vardas1355              5.48
Pavarde1357 Vardas1357              7.48
Pavarde1368 Vardas1368              6.28
Pavarde1369 Vardas1369              6.64
Pavarde1371 Vardas1371              5.96
Pavarde1374 Vardas1374              7.88
Pavarde1375 Vardas1375              5.96
Pavarde1376 Vardas1376              5.84
Pavarde1377 Vardas1377              6.72
Pavarde1378 Vardas1378              5.28
Pavarde1382 Vardas1382              5.88
Pavarde1383 Vardas1383              6.88
Pavarde1384 Vardas1384              6.76
Pavarde1385 Vardas1385              6.28
Pavarde1386 Vardas1386              6.96
Pavarde1390 Vardas1390              6.44
Pavarde1391 Vardas1391              7.44
Pavarde1392 Vardas1392              5.80
Pavarde1396 Vardas1396              6.20
Pavarde1397 Vardas1397              6.64
Pavarde1399 Vardas1399              6.96
Pavarde1400 Vardas1400              5.60
Pavarde1401 Vardas1401              5.40
Pavarde1408 Vardas1408              5.00
Pavarde1409 Vardas1409              7.32
Pavarde1410 Vardas1410              7.92
Pavarde1411 Vardas1411              5.04
Pavarde1412 Vardas1412              6.12
Pavarde1415 Vardas1415              7.24
Pavarde1416 Vardas1416              8.16
Pavarde1419 Vardas1419              6.24
Pavarde1423 Vardas1423              5.92
Pavarde1424 Vardas1424              7.92
Pavarde1428 Vardas1428              7.24
Pavarde1431 Vardas1431              7.84
Pavarde1432 Vardas1432              6.84
Pavarde1433 Vardas1433              6.36
Pavarde1436 Vardas1436              6.20
Pavarde1438 Vardas1438              8.72
Pavarde1439 Vardas1439              5.32
Pavarde1443 Vardas1443              6.36
Pavarde1444 Vardas1444              6.84
Pavarde1445 Vardas1445              6.88
Pavarde1447 Vardas1447              5.04
Pavarde1448 Vardas1448              5.40
Pavarde1449 Vardas1449              5.40
Pavarde1452 Vardas1452              6.04
Pavarde1455 Vardas1455              7.44
Pavarde1458 Vardas1458              8.08
Pavarde1460 Vardas1460              6.40
Pavarde1462 Vardas1462              7.52
Pavarde1466 Vardas1466              8.72
Pavarde1468 Vardas1468              6.16
Pavarde1469 Vardas1469              7.52
Pavarde1470 Vardas1470              7.32
Pavarde1472 Vardas1472              8.32
Pavarde1473 Vardas1473              5.20
Pavarde1476 Vardas1476              6.36
Pavarde1478 Vardas1478              9.04
Pavarde1479 Vardas1479              7.44
Pavarde1482 Vardas1482              7.32
Pavarde1483 Vardas1483              7.64
Pavarde1486 Vardas1486              6.56
Pavarde1488 Vardas1488              5.60
Pavarde1489 Vardas1489              6.76
Pavarde1491 Vardas1491              7.40
Pavarde1492 Vardas1492              5.12
Pavarde1493 Vardas1493              5.60
Pavarde1494 Vardas1494              6.80
Pavarde1496 Vardas1496              5.88
Pavarde1497 Vardas1497              6.48
Pavarde1498 Vardas1498              6.56
Pavarde1500 Vardas1500              5.68
Pavarde1506 Vardas1506              7.12
Pavarde1510 Vardas1510              6.68
Pavarde1511 Vardas1511              7.36
Pavarde1512 Vardas1512              5.72
Pavarde1516 Vardas1516              7.04
Pavarde1517 Vardas1517              7.32
Pavarde1522 Vardas1522              8.04
Pavarde1523 Vardas1523              7.16
Pavarde1525 Vardas1525              7.44
Pavarde1526 Vardas1526              5.92
Pavarde1527 Vardas1527              7.52
Pavarde1530 Vardas1530              6.48
Pavarde1535 Vardas1535              7.96
Pavarde1537 Vardas1537              7.44
Pavarde1539 Vardas1539              7.92
Pavarde1542 Vardas1542              8.56
Pavarde1544 Vardas1544              7.68
Pavarde1548 Vardas1548              5.36
Pavarde1552 Vardas1552              5.80
Pavarde1556 Vardas1556              8.20
Pavarde1557 Vardas1557              7.32
Pavarde1558 Vardas1558              8.48
Pavarde1561 Vardas1561              8.40
Pavarde1562 Vardas1562              5.88
Pavarde1565 Vardas1565              5.84
Pavarde1568 Vardas1568              8.72
Pavarde1570 Vardas1570              5.84
Pavarde1574 Vardas1574              5.04
Pavarde1579 Vardas1579              7.12
Pavarde1580 Vardas1580              6.44
Pavarde1581 Vardas1581              5.24
Pavarde1582 Vardas1582              6.60
Pavarde1583 Vardas1583              6.12
Pavarde1587 Vardas1587              5.08
Pavarde1591 Vardas1591              5.68
Pavarde1592 Vardas1592              7.48
Pavarde1593 Vardas1593              5.76
Pavarde1594 Vardas1594              8.24
Pavarde1595 Vardas1595              7.16
