Pavard?     Vardas        ND1  ND2  ND3  ND4  ND5   Egzaminas
Vardas69    Pavarde69       9    2   10    5   10           8
Vardas70    Pavarde70       8    9    9    3   10           1
Vardas71    Pavarde71      10    7    0   10    0           4
Vardas72    Pavarde72       4    6    2   10    4           2
Vardas73    Pavarde73       1    3    7    7    7           9
Vardas74    Pavarde74       6    3   10    3    4           4
Vardas75    Pavarde75       0    8    6    0    3          10
Vardas76    Pavarde76       0    8   10   10    4           9
Vardas77    Pavarde77       8    4    0   10    1           2
Vardas78    Pavarde78       1    5    5    1    6          10
Vardas79    Pavarde79       4    4    2    2   10           9
Vardas80    Pavarde80       9    8    3    1   10           0
Vardas81    Pavarde81       2    2    6    7    2           8
Vardas82    Pavarde82      10    9    0    7    9           1
Vardas83    Pavarde83       3    9    8    6    0           3
Vardas84    Pavarde84       7    7    3    8    7           2
Vardas85    Pavarde85       5    1    2    5    2           0
Vardas86    Pavarde86       2    8    7   10    4           7
Vardas87    Pavarde87       2    9    3    9    2           7
Vardas88    Pavarde88       1   10    8    8    4           9
Vardas89    Pavarde89      10    0    0    0    3           9
Vardas90    Pavarde90       5    3    2    4    3           4
Vardas91    Pavarde91       6    4   10    8    0           6
Vardas92    Pavarde92       6    9    1    2    5           2
Vardas93    Pavarde93      10    0    2    9   10           7
Vardas94    Pavarde94       0    7    6    2    4          10
Vardas95    Pavarde95       8    1    3    9    1           0
Vardas96    Pavarde96       3    4    4    2    6          10
Vardas97    Pavarde97       7    4    6    5    5           7
Vardas98    Pavarde98       1    8    9    6    6           0
Vardas99    Pavarde99       7    3    1    8    0           0
Vardas100   Pavarde100      0    5    7    6    0           4
Vardas101   Pavarde101      5    3    0    3    4           4
Vardas102   Pavarde102     10    3    1    3    9           3
Vardas103   Pavarde103      8    6    9   10    8           6
Vardas104   Pavarde104      7    3    6    8    5           6
Vardas105   Pavarde105      5    0    1   10    3           2
Vardas106   Pavarde106      0    1    6    6    2          10
Vardas107   Pavarde107      4    0   10    7    7           9
Vardas108   Pavarde108     10    2    0    0    2           3
Vardas109   Pavarde109      4   10    3    6    0           3
Vardas110   Pavarde110      9    5    9    7    8           0
Vardas111   Pavarde111      9    8    7    3   10           4
Vardas112   Pavarde112      3    0    0    0    3           4
Vardas113   Pavarde113      8    4    3    6    7           9
Vardas114   Pavarde114      8    1    0    8    2          10
Vardas115   Pavarde115      4    2    2    4    4           1
Vardas116   Pavarde116      2    2    9    8    2           1
Vardas117   Pavarde117     10    2    9    6    1          10
Vardas118   Pavarde118      1    3    2    0    9           3
Vardas119   Pavarde119      0    2    7    2    5           0
Vardas120   Pavarde120      3    4    3    9    5           7
Vardas121   Pavarde121      9   10    2    6    9           3
Vardas122   Pavarde122      2    8    5    5    9           8
Vardas123   Pavarde123      4    0    9    7    3           0
Vardas124   Pavarde124      1    3    5    8    3           6
Vardas125   Pavarde125      8    3    6    1    3           8
Vardas126   Pavarde126      5    6    7    5    7           8
Vardas127   Pavarde127      2    7    2   10    9           3
Vardas128   Pavarde128      0   10    9    9    2           4
Vardas129   Pavarde129      8    2    7    6    7           5
Vardas130   Pavarde130     10    1    0    0    3           0
Vardas131   Pavarde131      2    0   10    3    0           0
Vardas132   Pavarde132      4    7   10    0    5           7
Vardas133   Pavarde133      4    4   10    6    3          10
Vardas134   Pavarde134      3    0   10    8    6           8
Vardas135   Pavarde135      3    8    1    7    0           1
Vardas136   Pavarde136      7    8   10    4    5           2
Vardas137   Pavarde137      0    3   10    2    7          10
Vardas138   Pavarde138     10    5    5    7   10           1
Vardas139   Pavarde139      5    8    4    3    5           5
Vardas140   Pavarde140      8    7    6    4    5           6
Vardas141   Pavarde141      2    1    0    3    1           4
Vardas142   Pavarde142      6    2    2    0    7           1
Vardas143   Pavarde143     10    1    3   10    5           4
Vardas144   Pavarde144      4    3    9    0    8           1
Vardas145   Pavarde145      6   10    4    2    2           5
Vardas146   Pavarde146      2    8    1    1    1           5
Vardas147   Pavarde147      9    9    1    2    6          10
Vardas148   Pavarde148      4    2    4    5    1           1
Vardas149   Pavarde149      3    3    7   10    4          10
Vardas150   Pavarde150      2   10    7    4    5           2
Vardas151   Pavarde151      4    7   10    0    7          10
Vardas152   Pavarde152      3    8    1    5    0           1
Vardas153   Pavarde153     10    8    8    5    2          10
Vardas154   Pavarde154      7    8    8    4   10           6
Vardas155   Pavarde155      8    5    1    7    6           1
Vardas156   Pavarde156      3    9    1    4    9           5
Vardas157   Pavarde157      4    2    2    8    8           0
Vardas158   Pavarde158      4    7    1    0    4           2
Vardas159   Pavarde159      8    5    2    0    4           7
Vardas160   Pavarde160      2    8    5    6    7           1
Vardas161   Pavarde161      7    1    0   10    2           4
Vardas162   Pavarde162      4    6    3    0    4           8
Vardas163   Pavarde163     10    8    0    3    4           1
Vardas164   Pavarde164      8    7    2   10    6           6
Vardas165   Pavarde165     10    5    1   10    2           4
Vardas166   Pavarde166      8    3    3    6    2           2
Vardas167   Pavarde167      1    1    5    5    0          10
Vardas168   Pavarde168      7    1    5    3    2           6
Vardas169   Pavarde169      1    2    8    3    4           1
Vardas170   Pavarde170      6    8    6    4    5           3
Vardas171   Pavarde171      6    7    6    6    8           2
Vardas172   Pavarde172      3    3    6    5    5           4
Vardas173   Pavarde173      8    0    3    2    7           4
Vardas174   Pavarde174      1    2    7    2    5           9
Vardas175   Pavarde175      3   10    1    1    6          10
Vardas176   Pavarde176      0    4    3    3    1           9
Vardas177   Pavarde177      5    4    9    3   10           4
Vardas178   Pavarde178      7    4    1    9    0          10
Vardas179   Pavarde179      2    8    2    2    7           1
Vardas180   Pavarde180      4    7    5    2    2           9
Vardas181   Pavarde181      6    8    7   10    9          10
Vardas182   Pavarde182     10    8    6    9    4           1
Vardas183   Pavarde183      7    7    6    5    5           7
Vardas184   Pavarde184      1    4    3    1    9           9
Vardas185   Pavarde185      7    7    9    5    5           8
Vardas186   Pavarde186      3    6    0    1    7           6
Vardas187   Pavarde187      0    3    9    2    0           2
Vardas188   Pavarde188      7    9    9    3    4           8
Vardas189   Pavarde189      1    2    7    2    3           3
Vardas190   Pavarde190      5    4    1    3    0           7
Vardas191   Pavarde191      8   10    0    4    1           6
Vardas192   Pavarde192      9    8    4   10    6           2
Vardas193   Pavarde193      0    6    6    9    4           0
Vardas194   Pavarde194      8    9   10    7    2           0
Vardas195   Pavarde195      8    8    5    7    1           3
Vardas196   Pavarde196      3    1    3    3   10           6
Vardas197   Pavarde197      0    3    1    2    4           9
Vardas198   Pavarde198      8    5    7    6    7           0
Vardas199   Pavarde199      4    0    6    0    2           4
Vardas200   Pavarde200      0    6    4    7    5           1
Vardas201   Pavarde201      8    8    1    1    4           7
Vardas202   Pavarde202      1    4    1    2   10           6
Vardas203   Pavarde203      6    8    2    1    6           4
Vardas204   Pavarde204      1    3    1    4    2           6
Vardas205   Pavarde205      7    8    8    8   10          10
Vardas206   Pavarde206      7    9    5    5    5           6
Vardas207   Pavarde207      7    5    4    5    6           0
Vardas208   Pavarde208      6    4    6    9    0           1
Vardas209   Pavarde209      8    5    7    6    0           3
Vardas210   Pavarde210      4    3    9   10   10           3
Vardas211   Pavarde211      5    7    9    8    6           4
Vardas212   Pavarde212      2    9    5    6    1           5
Vardas213   Pavarde213      8    5    4    8    2           2
Vardas214   Pavarde214      6    7    4    4    8           1
Vardas215   Pavarde215      2    5    4    3    1           1
Vardas216   Pavarde216      5    9    5    1   10           0
Vardas217   Pavarde217      1    7    9   10    8           6
Vardas218   Pavarde218      8    3    8    2    3           6
Vardas219   Pavarde219      4   10    0    1    0           0
Vardas220   Pavarde220      2    7    6    0    3           7
Vardas221   Pavarde221      1    9    7   10    7           7
Vardas222   Pavarde222      4    3    0    0    3           7
Vardas223   Pavarde223      7    5    7    2    1          10
Vardas224   Pavarde224      3    6    2    3    7          10
Vardas225   Pavarde225      8    7    7    9    5          10
Vardas226   Pavarde226     10    1    3    1    9           7
Vardas227   Pavarde227      6    1    1    9    5           0
Vardas228   Pavarde228      1    1    4    2    6           7
Vardas229   Pavarde229      2    7    7    1    4           9
Vardas230   Pavarde230      7    6    0    4    5           6
Vardas231   Pavarde231      8    7    0    4    7           4
Vardas232   Pavarde232      6    7    6    8    5           3
Vardas233   Pavarde233      0    1    1    3   10           8
Vardas234   Pavarde234      7   10    5    4    7           1
Vardas235   Pavarde235      8    9    4    6    6           7
Vardas236   Pavarde236     10    9    5    6    6           5
Vardas237   Pavarde237      2    6    6    4    8          10
Vardas238   Pavarde238      9    5    7    0    1           6
Vardas239   Pavarde239      7    1   10    7    3          10
Vardas240   Pavarde240      7    5    0    9    1           8
Vardas241   Pavarde241      4    8    6    2    7           8
Vardas242   Pavarde242      7   10    2    6    3           0
Vardas243   Pavarde243      7    1    8    7   10           1
Vardas244   Pavarde244     10    2    6    2    2           8
Vardas245   Pavarde245      3    0    3    0    7           5
Vardas246   Pavarde246      2    3    4    3    3           0
Vardas247   Pavarde247      8    8    2    4    2           6
Vardas248   Pavarde248      4    4    7    1    7          10
Vardas249   Pavarde249      6   10   10    1    3           9
Vardas250   Pavarde250      6    1    3    1    2           0
Vardas251   Pavarde251      3    5    5    8    1           0
Vardas252   Pavarde252      4   10    8    2   10           7
Vardas253   Pavarde253      9    3    8    8    1           9
Vardas254   Pavarde254      9    1    8    4    3           9
Vardas255   Pavarde255      8    1    8    8    7           0
Vardas256   Pavarde256     10    6    2   10    2           2
Vardas257   Pavarde257      7    5    0    4    5           5
Vardas258   Pavarde258      2    2    9    4    2          10
Vardas259   Pavarde259      5    1    5   10    3           0
Vardas260   Pavarde260     10    1    5    3    2           1
Vardas261   Pavarde261      1    3    2    5    0           5
Vardas262   Pavarde262      0    5    1    8    6           5
Vardas263   Pavarde263      5    1    0    4    5           5
Vardas264   Pavarde264      2    7    4    7    4           8
Vardas265   Pavarde265      9   10    1    5    7           3
Vardas266   Pavarde266      0    8    4    1    4           9
Vardas267   Pavarde267      3    3   10    4   10          10
Vardas268   Pavarde268      3    2    8    1    6           7
Vardas269   Pavarde269      2    9    5    9    8           9
Vardas270   Pavarde270      2    1    6    1    8           2
Vardas271   Pavarde271      0    4    3    4    0           1
Vardas272   Pavarde272     10    5    1    7    4           6
Vardas273   Pavarde273      0    8    2    5    3           0
Vardas274   Pavarde274      6    5    2   10    0           6
Vardas275   Pavarde275      8    5   10    9    5           6
Vardas276   Pavarde276      7    8    4    8    9           7
Vardas277   Pavarde277      6    8    2    9   10           5
Vardas278   Pavarde278      0    1    7    9    4           9
Vardas279   Pavarde279      0    7    1    1   10           6
Vardas280   Pavarde280      1    1    7    6    9           6
Vardas281   Pavarde281      8    3    6    3   10          10
Vardas282   Pavarde282     10    5    5    7    3           1
Vardas283   Pavarde283      7    4    7    2    1           0
Vardas284   Pavarde284      5    2    6    6    4          10
Vardas285   Pavarde285      7   10    7    4    2           5
Vardas286   Pavarde286      8    8    6    2    5           7
Vardas287   Pavarde287     10    1   10    9   10           5
Vardas288   Pavarde288     10   10    9   10    5           8
Vardas289   Pavarde289      9    1    1    8    7           9
Vardas290   Pavarde290      0    2    2    5    9           8
Vardas291   Pavarde291      8    3    6    5    8           7
Vardas292   Pavarde292      6    6    2   10    6           6
Vardas293   Pavarde293      4    0    4    1    5           2
Vardas294   Pavarde294      0    9    2   10    8           1
Vardas295   Pavarde295      1    0    0    5    5           0
Vardas296   Pavarde296      2   10    6    1    9           6
Vardas297   Pavarde297      4    6    1    7    0           4
Vardas298   Pavarde298      5    0    3    7   10           0
Vardas299   Pavarde299      6    3    2    6    4           5
Vardas300   Pavarde300      7    1    0    5    1           5
Vardas301   Pavarde301      1    1    5    4    5           6
Vardas302   Pavarde302      1    9    5    1    2           9
Vardas303   Pavarde303      5    4    2    9    8           4
Vardas304   Pavarde304      7   10    3    3    5           4
Vardas305   Pavarde305      2   10    5   10    5           6
Vardas306   Pavarde306     10   10    0    6    6           2
Vardas307   Pavarde307      3    5    1    4    9           0
Vardas308   Pavarde308      4    6    9    6    6           5
Vardas309   Pavarde309      6    6    7   10   10           2
Vardas310   Pavarde310      1    5   10    6    8           9
Vardas311   Pavarde311      2    2    6    5    3           5
Vardas312   Pavarde312      8    9    3    7    0           0
Vardas313   Pavarde313      6    1    4    0    4          10
Vardas314   Pavarde314      5    9    0    3    8           2
Vardas315   Pavarde315      7    7   10    8    5           0
Vardas316   Pavarde316      5    2    8    8    3           2
Vardas317   Pavarde317      8    5    4    8    2           8
Vardas318   Pavarde318      5   10    6    5    7           7
Vardas319   Pavarde319      0    5    7    9    7           6
Vardas320   Pavarde320      5    0    4    6    6          10
Vardas321   Pavarde321      4    9    7    9    3           9
Vardas322   Pavarde322      7    3    7    4    5           1
Vardas323   Pavarde323      7    8    2    6    3           8
Vardas324   Pavarde324      2    7    8    7    8           3
Vardas325   Pavarde325      5    6   10    5    9           0
Vardas326   Pavarde326      5    1    1   10    9           2
Vardas327   Pavarde327     10    4    1   10    3           4
Vardas328   Pavarde328     10    4    8   10    2           0
Vardas329   Pavarde329      8    3    7    7    2           2
Vardas330   Pavarde330      4    2    5    5    7           5
Vardas331   Pavarde331      6    0    7   10    9           4
Vardas332   Pavarde332      0    8    6    8    6           1
Vardas333   Pavarde333      7    9    1    7   10           7
Vardas334   Pavarde334      1    3    9   10    2           4
Vardas335   Pavarde335      0    3    0    9    9           3
Vardas336   Pavarde336      9    1   10    5    5           9
Vardas337   Pavarde337      2    4    7    3    6          10
Vardas338   Pavarde338     10    7    5   10   10           2
Vardas339   Pavarde339      5    2    6    9   10           2
Vardas340   Pavarde340      7    2    0    8    1          10
Vardas341   Pavarde341      7    0    7    1    2           1
Vardas342   Pavarde342      3    7    1    9    5           0
Vardas343   Pavarde343      5    1   10    7    5           4
Vardas344   Pavarde344      2    5    4    7   10           3
Vardas345   Pavarde345      3    5    7    3    4           4
Vardas346   Pavarde346      3    8   10    9    7           2
Vardas347   Pavarde347      6    9    0   10    2           3
Vardas348   Pavarde348      2    1    2    1    7           7
Vardas349   Pavarde349      7    1    9    1    5           2
Vardas350   Pavarde350      9    0    9    2    0           6
Vardas351   Pavarde351      2   10    9    5    5           5
Vardas352   Pavarde352      0    8    2   10   10           8
Vardas353   Pavarde353      0    7    8    5    2           6
Vardas354   Pavarde354      7    3    4    1    7           7
Vardas355   Pavarde355      7   10    3    0    3           9
Vardas356   Pavarde356     10    0    4    0    0          10
Vardas357   Pavarde357      1    6    0   10    7          10
Vardas358   Pavarde358      3   10    2    2    5           0
Vardas359   Pavarde359      8    4    9    0    9           3
Vardas360   Pavarde360      8    8    1    1    4           3
Vardas361   Pavarde361      8    8    1    3    5           1
Vardas362   Pavarde362      2    1    8    2    2           5
Vardas363   Pavarde363      2    1   10    3    2           7
Vardas364   Pavarde364      8    0    2    4    2           3
Vardas365   Pavarde365     10   10    9   10    4           9
Vardas366   Pavarde366      0    3    0    8    3           3
Vardas367   Pavarde367      3    7    2    0    7           9
Vardas368   Pavarde368      3    8    0    4    2           8
Vardas369   Pavarde369      8    2    5    8    4           8
Vardas370   Pavarde370      5    1   10    3    4          10
Vardas371   Pavarde371     10   10    9    2    5           4
Vardas372   Pavarde372      5    6    6    0    0           5
Vardas373   Pavarde373      9    5   10    6    9           2
Vardas374   Pavarde374     10   10    1    5    6           9
Vardas375   Pavarde375      0    8    0    5    0           7
Vardas376   Pavarde376      2    4    0    1   10           9
Vardas377   Pavarde377      7    0    2    7   10           8
Vardas378   Pavarde378     10    3    1    9   10           0
Vardas379   Pavarde379      3    4    5    3    0           8
Vardas380   Pavarde380      2    1    0    6    5           5
Vardas381   Pavarde381     10    6    9    3   10           2
Vardas382   Pavarde382      2    1    3    3    7           1
Vardas383   Pavarde383     10    5    1    3    8           4
Vardas384   Pavarde384      3    3   10   10    3           6
Vardas385   Pavarde385     10    6    7    6    4           7
Vardas386   Pavarde386      1    7    3    4    4           1
Vardas387   Pavarde387     10    3    3    6   10           5
Vardas388   Pavarde388     10   10    1    6    0           0
Vardas389   Pavarde389      7   10    9    1    6           5
Vardas390   Pavarde390      8    4    3    2    0           4
Vardas391   Pavarde391      6    3    1    4    3           1
Vardas392   Pavarde392      2    0    4   10    0           3
Vardas393   Pavarde393      3    2    5    5    9           6
Vardas394   Pavarde394      5    5   10    9    5           4
Vardas395   Pavarde395      5    7    2    6    0           8
Vardas396   Pavarde396      7    8    8    0    6           9
Vardas397   Pavarde397      9    2    1    2    8           7
Vardas398   Pavarde398     10    9    9    7    1           4
Vardas399   Pavarde399      3    2    3    5    8           9
Vardas400   Pavarde400      0    9    1    8    8           4
Vardas401   Pavarde401      9    9    5    0    4           3
Vardas402   Pavarde402      8    7    1    0    8          10
Vardas403   Pavarde403      9    7    7    3    6           1
Vardas404   Pavarde404      1    9   10   10   10           2
Vardas405   Pavarde405      3    0    6    2    2          10
Vardas406   Pavarde406      6    0    8    1    9           9
Vardas407   Pavarde407      6   10    6    0    3           1
Vardas408   Pavarde408      8    9   10    4    5           8
Vardas409   Pavarde409      8    1    0    6    3           8
Vardas410   Pavarde410      7    5    6    2    3           2
Vardas411   Pavarde411      5    0    1    2    0           2
Vardas412   Pavarde412      1    4    2    1    8           2
Vardas413   Pavarde413      3    2    7    3    2           5
Vardas414   Pavarde414     10    8    5    6    7           8
Vardas415   Pavarde415      7    9    6    6    4           5
Vardas416   Pavarde416      5    2    4   10    8           1
Vardas417   Pavarde417      5    4    4    3    2           0
Vardas418   Pavarde418      1    4    8    4    0           5
Vardas419   Pavarde419      7    4   10    5    6           9
Vardas420   Pavarde420      2    3    1    7    6          10
Vardas421   Pavarde421      5    7    8    8    5           6
Vardas422   Pavarde422      1    1    7    2    2           2
Vardas423   Pavarde423      0    2    0    8   10           7
Vardas424   Pavarde424      5    4   10    6    3           7
Vardas425   Pavarde425      2    1    4    7    3           7
Vardas426   Pavarde426      2    2    5    7    7           8
Vardas427   Pavarde427      3    9    2    8    3           6
Vardas428   Pavarde428      5    3   10    6   10           9
Vardas429   Pavarde429      0   10    0   10    1           2
Vardas430   Pavarde430      9   10    6    5    5           5
Vardas431   Pavarde431      6   10    1    5    4          10
Vardas432   Pavarde432      2    8    4    5    6           9
Vardas433   Pavarde433      5   10   10    7    0           5
Vardas434   Pavarde434      1    1    0    0    5           3
Vardas435   Pavarde435      6    2    1    5    3           6
Vardas436   Pavarde436      2   10    7    7    7           9
Vardas437   Pavarde437      4    1    6    6    5           1
Vardas438   Pavarde438      3    4    3    6    0           5
Vardas439   Pavarde439      1    3    9    5    8           7
Vardas440   Pavarde440      9    1    9   10    4           1
Vardas441   Pavarde441      9    5    6    5    9           6
Vardas442   Pavarde442      0    0    9    4    2           9
Vardas443   Pavarde443      1   10    2    1    1           9
Vardas444   Pavarde444     10    0    0    1    0           7
Vardas445   Pavarde445      5    5    3   10    0           8
Vardas446   Pavarde446     10   10    2    7    3           9
Vardas447   Pavarde447      0    4    8    5   10           0
Vardas448   Pavarde448      4    5    2    5    6           1
Vardas449   Pavarde449      0    1    6    8    1           1
Vardas450   Pavarde450      3    4    7    2    3           8
Vardas451   Pavarde451     10    7   10    5    9          10
Vardas452   Pavarde452      6   10    0    8    8           7
Vardas453   Pavarde453      9    3    1    2    3           2
Vardas454   Pavarde454     10    8   10   10    0           0
Vardas455   Pavarde455      7    8   10    7    7           4
Vardas456   Pavarde456      3    3    5   10    1           6
Vardas457   Pavarde457      2   10    5    6    2           6
Vardas458   Pavarde458      9   10    8    7    9           2
Vardas459   Pavarde459      1    4    6    9    7           5
Vardas460   Pavarde460      1   10    1    0    6           1
Vardas461   Pavarde461      8    0    0    9    7          10
Vardas462   Pavarde462      2    6    5    1    2           0
Vardas463   Pavarde463      4    3    3    4    6           9
Vardas464   Pavarde464     10    9    9    4   10           7
Vardas465   Pavarde465      7    8    9    7    9          10
Vardas466   Pavarde466     10   10    0    2    8          10
Vardas467   Pavarde467      1    6    5    0    6           9
Vardas468   Pavarde468      1    4    4    7    8           2
Vardas469   Pavarde469      7    2    7    3   10           0
Vardas470   Pavarde470      2    2    1    1    2           4
Vardas471   Pavarde471      6    2    8    2    8           8
Vardas472   Pavarde472      3    3   10    0    0           8
Vardas473   Pavarde473      1    7   10   10    3           8
Vardas474   Pavarde474      4    3    1    5    8           9
Vardas475   Pavarde475      7    8    8    0    1           8
Vardas476   Pavarde476      1    9    8    3    7          10
Vardas477   Pavarde477      5    6    3    9    0           9
Vardas478   Pavarde478      6    3    9    7    7           3
Vardas479   Pavarde479      7    7    2    8    6           3
Vardas480   Pavarde480      4    8    5    8    5           4
Vardas481   Pavarde481      9    2    2   10    7           0
Vardas482   Pavarde482     10    0    7    9    5           8
Vardas483   Pavarde483      5    6    0    7    2           5
Vardas484   Pavarde484      9   10    9    6    1           9
Vardas485   Pavarde485      9    3    4    9    3           0
Vardas486   Pavarde486      5    6    5    9    1           4
Vardas487   Pavarde487      2    9    0    5    6           4
Vardas488   Pavarde488      9    8    9    0    0           1
Vardas489   Pavarde489     10    0    5    7    6           3
Vardas490   Pavarde490      4   10    7   10    7           5
Vardas491   Pavarde491      6    4    9    8    5           3
Vardas492   Pavarde492      2    8    5    6    1           8
Vardas493   Pavarde493      4    5    5    2    6           1
Vardas494   Pavarde494      4    4    5    9   10           5
Vardas495   Pavarde495      8    2    7    8    6           9
Vardas496   Pavarde496      5    0    9    9    6           3
Vardas497   Pavarde497      9    6    3    1    3          10
Vardas498   Pavarde498      3    0    6   10    8           9
Vardas499   Pavarde499      7    9    3    6    3          10
Vardas500   Pavarde500      3    5    8    8    7           1
Vardas501   Pavarde501      6    9    4    8    3           1
Vardas502   Pavarde502      5    3   10   10    2          10
Vardas503   Pavarde503      6    8    9    0    5           1
Vardas504   Pavarde504     10    8    5    0    5           1
Vardas505   Pavarde505      3    5    5    7    3           2
Vardas506   Pavarde506      7    1    3    4    9           3
Vardas507   Pavarde507      1    2    2    9    6           7
Vardas508   Pavarde508      4    3    9    1    1           0
Vardas509   Pavarde509      6    2    5    3    1           0
Vardas510   Pavarde510      5    8    5    0    6           9
Vardas511   Pavarde511      1    7    5    7    7           7
Vardas512   Pavarde512      4   10    2    9    7           1
Vardas513   Pavarde513      4    7    5    3    3           9
Vardas514   Pavarde514      4    8    4    0    5          10
Vardas515   Pavarde515      2    5    1   10    2           2
Vardas516   Pavarde516      7    9    0    0    3           9
Vardas517   Pavarde517      1    4    3    4    0          10
Vardas518   Pavarde518      5    2   10    8    4           7
Vardas519   Pavarde519      9    8    2    3    2           2
Vardas520   Pavarde520      2   10    2    0    6           7
Vardas521   Pavarde521      5    1    3   10   10           0
Vardas522   Pavarde522      5    9    6    3    4           7
Vardas523   Pavarde523     10    2    2    6    9           3
Vardas524   Pavarde524      8    6    1    0    4          10
Vardas525   Pavarde525      3    7    1    8    7           0
Vardas526   Pavarde526      8    9    0    9    3           5
Vardas527   Pavarde527      8    7    4    3    1          10
Vardas528   Pavarde528      2    1    6    8    0           0
Vardas529   Pavarde529      4    2    8    4    0           0
Vardas530   Pavarde530      2    7    2    3    7           3
Vardas531   Pavarde531      1    6    3    5    2           6
Vardas532   Pavarde532      2    9    6    3    0           8
Vardas533   Pavarde533      1    3    4    9    6           4
Vardas534   Pavarde534      9    5    5    7    7           7
Vardas535   Pavarde535      9    3    0    4   10           1
Vardas536   Pavarde536      2    4    7    6    8           3
Vardas537   Pavarde537      0   10    2   10   10           8
Vardas538   Pavarde538      4    4    7    5    5           9
Vardas539   Pavarde539      2    9    1    1    5           7
Vardas540   Pavarde540     10    5    2    1    5           4
Vardas541   Pavarde541      7    3    6    7    5           9
Vardas542   Pavarde542     10    0   10    8    0           8
Vardas543   Pavarde543      5    4    7    6    7           0
Vardas544   Pavarde544      6    8    8    9    2          10
Vardas545   Pavarde545      9    3   10    8    2           7
Vardas546   Pavarde546      1    3    7   10   10           6
Vardas547   Pavarde547      2    4    1    1    9           8
Vardas548   Pavarde548      3    2    4    0    7           7
Vardas549   Pavarde549     10    7    0    8    1           8
Vardas550   Pavarde550      0    6    4    0    1           6
Vardas551   Pavarde551      7    9    3    7    4           3
Vardas552   Pavarde552      9    6    1    4    7           1
Vardas553   Pavarde553      3    5    9    9    0           5
Vardas554   Pavarde554      6    6    0    4    7           9
Vardas555   Pavarde555      0    4    6    2    9           9
Vardas556   Pavarde556      8    8    8    9    3           5
