Pavard?     Vardas        ND1  ND2  ND3  ND4  ND5   Egzaminas
Vardas58    Pavarde58       3    5    3    5    0           5
Vardas59    Pavarde59       4    8    0    7    4           9
Vardas60    Pavarde60       9    4    5    7    8           9
Vardas61    Pavarde61      10    1    4    7    4           9
Vardas62    Pavarde62       6   10    5    6    3           1
Vardas63    Pavarde63       4    6    1    8   10           8
Vardas64    Pavarde64       9    8    9    4    0           8
Vardas65    Pavarde65       7    4    8    5    3           1
Vardas66    Pavarde66       7   10    8    3    4           0
Vardas67    Pavarde67       1    3    5    1    5           4
Vardas68    Pavarde68       4    2    9    1    9           3
Vardas69    Pavarde69       3    6    6    4    7           4
Vardas70    Pavarde70       7    7    2    8    5           9
Vardas71    Pavarde71       7    9    2    1    2           8
Vardas72    Pavarde72       8    6    3    6    4           6
Vardas73    Pavarde73       2   10    1    7    3           3
Vardas74    Pavarde74       2    4    7    5    7           6
Vardas75    Pavarde75      10    5    9    4    5           5
Vardas76    Pavarde76       6    0    2    8    3           1
Vardas77    Pavarde77       0    0    1    6    9           0
Vardas78    Pavarde78       9    1    3    6    9           7
Vardas79    Pavarde79       8   10    8    5    9           3
Vardas80    Pavarde80       2    9    9    4   10           8
Vardas81    Pavarde81       0    8    5   10    5           6
Vardas82    Pavarde82      10    7    0    6    3          10
Vardas83    Pavarde83       9    4    5    5    4           0
Vardas84    Pavarde84       2    3    4    0   10           6
Vardas85    Pavarde85       5    5    0    0   10           9
Vardas86    Pavarde86       9    2    5   10    1           0
Vardas87    Pavarde87       0    6    3    3    4           5
Vardas88    Pavarde88       7    9    5    1    2           8
Vardas89    Pavarde89       0    4    3    5    1           7
Vardas90    Pavarde90       0    6    1   10    4          10
Vardas91    Pavarde91       3    3    3    1    7          10
Vardas92    Pavarde92       5    6    8    6    9           5
Vardas93    Pavarde93       5    7    6    5   10           8
Vardas94    Pavarde94       2    9    4    5    5           4
Vardas95    Pavarde95       7    3    1    5    8           8
Vardas96    Pavarde96       6    5    6    3    3           4
Vardas97    Pavarde97       4    6    2    0    6          10
Vardas98    Pavarde98       7    0    5    1    6           2
Vardas99    Pavarde99       7    1    8    5    5           1
Vardas100   Pavarde100     10    1    4    8    8           9
Vardas101   Pavarde101     10    0    1    3   10          10
Vardas102   Pavarde102      4   10   10    3    2           9
Vardas103   Pavarde103      4    8    3    3    1           1
Vardas104   Pavarde104      3    6    5    5    7           5
Vardas105   Pavarde105      5    3    7    9    0           3
Vardas106   Pavarde106      4    0    5   10    0           8
Vardas107   Pavarde107      8    6    0    4    6           3
Vardas108   Pavarde108      2    7    5    4    5           7
Vardas109   Pavarde109      0   10   10    3    9          10
Vardas110   Pavarde110      4    1    5    0    9           3
Vardas111   Pavarde111      1    4    0    3   10           2
Vardas112   Pavarde112      5    0    5    3    2           2
Vardas113   Pavarde113      5   10    3    6    6           0
Vardas114   Pavarde114      0   10    9    0   10           3
Vardas115   Pavarde115      4    7    5    9    4           9
Vardas116   Pavarde116      5    8    9    4   10           4
Vardas117   Pavarde117      7    9    1    8    0           1
Vardas118   Pavarde118      4    7    8    3    3           7
Vardas119   Pavarde119      0    8    0    2    9           6
Vardas120   Pavarde120      7    4    1   10    7           1
Vardas121   Pavarde121      2    1    3   10    0          10
Vardas122   Pavarde122      9    2    7    7    7           1
Vardas123   Pavarde123      2    4    6    8    8           6
Vardas124   Pavarde124      4    1    5    3    3           1
Vardas125   Pavarde125      5    8    5    5    9           0
Vardas126   Pavarde126      9    8    3    1   10           8
Vardas127   Pavarde127      2    2    1   10    9           8
Vardas128   Pavarde128      8    4    8    4    1           3
Vardas129   Pavarde129      7    0    5    9   10           6
Vardas130   Pavarde130      3    1    3    7    6           3
Vardas131   Pavarde131      3    3    3    4    5          10
Vardas132   Pavarde132      5    8    6    2    9           9
Vardas133   Pavarde133      6    3    3    3    7           8
Vardas134   Pavarde134      2    8    1   10    4           8
Vardas135   Pavarde135      6    5    6    1    7           6
Vardas136   Pavarde136     10    7    4    1    1           8
Vardas137   Pavarde137     10    7    0    5    4           7
Vardas138   Pavarde138      3    8    4    2    0           4
Vardas139   Pavarde139      3    8    0    4    5           1
Vardas140   Pavarde140      1    8    1    3    5           6
Vardas141   Pavarde141      5   10   10    1    1           6
Vardas142   Pavarde142      1    2    1    0    2           1
Vardas143   Pavarde143      2    6    8   10    6           9
Vardas144   Pavarde144      1    5    3    8   10           1
Vardas145   Pavarde145      5    4   10    1    5           2
Vardas146   Pavarde146      6    5    5    8    1           5
Vardas147   Pavarde147      7    5    8    8    1           8
Vardas148   Pavarde148      3    1    1    1    7           0
Vardas149   Pavarde149      9    3    7    4   10           7
Vardas150   Pavarde150      2    8    4    8    4           9
Vardas151   Pavarde151     10    8    0    7    0           2
Vardas152   Pavarde152      2    2    0    6    0           3
Vardas153   Pavarde153      0    7    5    7   10           9
Vardas154   Pavarde154      0    7   10   10    6           5
Vardas155   Pavarde155      1    5    7    9    3           6
Vardas156   Pavarde156      3   10    4    2    7          10
Vardas157   Pavarde157      5    9    3    9    5           1
Vardas158   Pavarde158      9   10    6    7    1           8
Vardas159   Pavarde159      1    9    9    0    4           2
Vardas160   Pavarde160      0    1    8   10    3          10
Vardas161   Pavarde161      1    8   10    4    9           6
Vardas162   Pavarde162      3    0    1    1   10           7
Vardas163   Pavarde163      0    6    2    2    4           3
Vardas164   Pavarde164      1   10    6    5    4           4
Vardas165   Pavarde165      4    3    8    0    8           3
Vardas166   Pavarde166      7   10    5    4    3           9
Vardas167   Pavarde167      0    4    5   10    3           6
Vardas168   Pavarde168      4    0    0    7   10           6
Vardas169   Pavarde169      9    8    9    6    9           7
Vardas170   Pavarde170      7    1    7    6   10           4
Vardas171   Pavarde171      1    8    8    6    1          10
Vardas172   Pavarde172     10    8    6    0    1           1
Vardas173   Pavarde173      2    0    9    7   10           5
Vardas174   Pavarde174      4    9    8    4    9           6
Vardas175   Pavarde175      0    3   10    1    5           0
Vardas176   Pavarde176      1    8   10    5    3           0
Vardas177   Pavarde177      8    4    0    8    2           0
Vardas178   Pavarde178      0    8    5    2    1           9
Vardas179   Pavarde179      9    2    1    7    2           9
Vardas180   Pavarde180      7    0   10    2    8           4
Vardas181   Pavarde181      7    3    5    5    9          10
Vardas182   Pavarde182     10    5    7   10    6           0
Vardas183   Pavarde183      6    4    9    4    8           8
Vardas184   Pavarde184      5    0    8    2    7           9
Vardas185   Pavarde185      7    6   10    6    7          10
Vardas186   Pavarde186      0    6    4    2    4           1
Vardas187   Pavarde187      7    8    0    2   10           0
Vardas188   Pavarde188      1    9    6    1    8          10
Vardas189   Pavarde189      5    4    7   10    1           0
Vardas190   Pavarde190      9    1    1    2    7           8
Vardas191   Pavarde191      6    3    9    1   10           9
Vardas192   Pavarde192      8    2    4    5    5           1
Vardas193   Pavarde193      4    7    8    5   10           9
Vardas194   Pavarde194      7    7    4    0    9           3
Vardas195   Pavarde195      4   10    2    0    8          10
Vardas196   Pavarde196      4    7    9    6    4           6
Vardas197   Pavarde197      7    4    2    5    8           7
Vardas198   Pavarde198      9    7    8    6    8           3
Vardas199   Pavarde199     10    9    8    4    4           8
Vardas200   Pavarde200      4   10    6    4    6           1
Vardas201   Pavarde201      4    6    2    8    7           8
Vardas202   Pavarde202      6    6    0    3   10           1
Vardas203   Pavarde203      6    8    5    4    4           8
Vardas204   Pavarde204      2    6    2    7    6          10
Vardas205   Pavarde205      0    3    0    9    2           1
Vardas206   Pavarde206      9    3    7    3    1           0
Vardas207   Pavarde207      0    1    3    1    3           1
Vardas208   Pavarde208      0    7    2    7    0           1
Vardas209   Pavarde209      9    7    1    8    2           3
Vardas210   Pavarde210      1    0    1    8    3           4
Vardas211   Pavarde211     10    9    4    2    1           6
Vardas212   Pavarde212      2    7    4    2    9           1
Vardas213   Pavarde213      1    0    2    2    8           5
Vardas214   Pavarde214      2   10    2    2    5           7
Vardas215   Pavarde215      4   10    4    8    0           7
Vardas216   Pavarde216      0    8    8    6    3           9
Vardas217   Pavarde217      1    8    8    2    5           4
Vardas218   Pavarde218      8    2    4    8    0           8
Vardas219   Pavarde219      9    2    6   10    4           2
Vardas220   Pavarde220      9   10    9   10    9          10
Vardas221   Pavarde221     10    6    1    5    1           3
Vardas222   Pavarde222      0    1    8    4    2           9
Vardas223   Pavarde223      2    0    6    9    3           3
Vardas224   Pavarde224      5    6    1    7    7           4
Vardas225   Pavarde225      2    5    4    3    2           2
Vardas226   Pavarde226      1    8    2    6    1           5
Vardas227   Pavarde227     10    1   10    2    1           4
Vardas228   Pavarde228      9   10   10    8    8           2
Vardas229   Pavarde229      5   10    9    5    3           5
Vardas230   Pavarde230      4    3    0    0    1           5
Vardas231   Pavarde231      2   10    2    9    2          10
Vardas232   Pavarde232      4    0    6    4    0           2
Vardas233   Pavarde233      8    3   10    9    9          10
Vardas234   Pavarde234      9    7    7    7    9           2
Vardas235   Pavarde235      4    9    3    8    6           1
Vardas236   Pavarde236      8    6    3    9    1           2
Vardas237   Pavarde237      7    5    9    2    7           1
Vardas238   Pavarde238      6    6    8    5    2           2
Vardas239   Pavarde239      4    4    8    6    3           2
Vardas240   Pavarde240      1    9    4    2    5           7
Vardas241   Pavarde241      8    5    6    1    8           6
Vardas242   Pavarde242      4    5    8    9    9           4
Vardas243   Pavarde243      8    3    7    3    0           7
Vardas244   Pavarde244      4    9   10    9    6           6
Vardas245   Pavarde245      5    1    7    4   10           8
Vardas246   Pavarde246      1    8    2    6    4           8
Vardas247   Pavarde247      5    8    2    5   10           9
Vardas248   Pavarde248      8    8    7    1   10           7
Vardas249   Pavarde249      8    6    4    3    1           7
Vardas250   Pavarde250      6    6    6    5    9           9
Vardas251   Pavarde251      8    6    3    4    7           9
Vardas252   Pavarde252      7    6    7    5    3           0
Vardas253   Pavarde253      7    4    2    1    2           9
Vardas254   Pavarde254      8    0    5    5    3           1
Vardas255   Pavarde255      9    4    8    1   10           2
Vardas256   Pavarde256      3    2    1    8    4           7
Vardas257   Pavarde257     10    4    8    7    9           9
Vardas258   Pavarde258      3    8    3    5    8           6
Vardas259   Pavarde259      5    1   10    6    9           7
Vardas260   Pavarde260      8    1    7    6   10           3
Vardas261   Pavarde261      9    6    9    1    8          10
Vardas262   Pavarde262      6    0    5    8    9           1
Vardas263   Pavarde263      6    6    1    5    2           6
Vardas264   Pavarde264      6    6    6    1    6           8
Vardas265   Pavarde265      6    8    0    8    2           3
Vardas266   Pavarde266      7    2    3    9    8           7
Vardas267   Pavarde267      1    6    7    8    0           5
Vardas268   Pavarde268      5    2   10    5    0           6
Vardas269   Pavarde269      6    5    0    5   10           2
Vardas270   Pavarde270      3    4    9    4   10          10
Vardas271   Pavarde271      6    5    5   10   10           9
Vardas272   Pavarde272      1    0    2    9    5           7
Vardas273   Pavarde273      6    1    5    7    9           3
Vardas274   Pavarde274      0    8    4    2    5           8
Vardas275   Pavarde275      6    4    0    9   10           5
Vardas276   Pavarde276      9    2    4   10    7          10
Vardas277   Pavarde277      0    5    0    9    1           7
Vardas278   Pavarde278      0    8    6   10    1           5
Vardas279   Pavarde279      9    5    3    9   10           6
Vardas280   Pavarde280      5    4    4    9    3           4
Vardas281   Pavarde281      3    1    9    3    5           5
Vardas282   Pavarde282      7    0   10    3    3           3
Vardas283   Pavarde283      5    0    4    4    0           9
Vardas284   Pavarde284      6    4    2    1    1           2
Vardas285   Pavarde285      3    4    9   10    0           4
Vardas286   Pavarde286     10    6    5    0    5           7
Vardas287   Pavarde287      9    2    3    2   10           0
Vardas288   Pavarde288     10    0    4    0    4          10
Vardas289   Pavarde289      8    8    0    5    0          10
Vardas290   Pavarde290      5    1    4    9    5           4
Vardas291   Pavarde291     10    4    1    7    1           0
Vardas292   Pavarde292      9    6   10    5    6           1
Vardas293   Pavarde293      9    7    7    8    3           9
Vardas294   Pavarde294     10    5    9    5   10           5
Vardas295   Pavarde295      1    1    6    5    0           8
Vardas296   Pavarde296      7    2    8    7    0           0
Vardas297   Pavarde297      4    5    1    5    9           0
Vardas298   Pavarde298      9    2    9    3    9           2
Vardas299   Pavarde299      6    1    1    3    7           6
Vardas300   Pavarde300      9    4    9    4    4           3
Vardas301   Pavarde301      6    3    5    4    7           6
Vardas302   Pavarde302      5    8    4    5    1           0
Vardas303   Pavarde303      9    0    2    9   10           1
Vardas304   Pavarde304      1    9    1    8    1           9
Vardas305   Pavarde305     10    6    5    4    1          10
Vardas306   Pavarde306      8    9    0    9    0           4
Vardas307   Pavarde307      0    3    0    3    0          10
Vardas308   Pavarde308      7    9    6   10    0           4
Vardas309   Pavarde309      6    0    7    2    1           1
Vardas310   Pavarde310      5    7    4    9   10           9
Vardas311   Pavarde311      2    9    0    8    7           6
Vardas312   Pavarde312      8    1    5    1    5           3
Vardas313   Pavarde313      8    6    3    5    6           7
Vardas314   Pavarde314      5    9    7    0    6           2
Vardas315   Pavarde315     10    6   10    7    7           7
Vardas316   Pavarde316      5    2    1   10    9           8
Vardas317   Pavarde317      6    0    0    7    3          10
Vardas318   Pavarde318      7    7    7    4   10           7
Vardas319   Pavarde319      2    2    7   10    8           5
Vardas320   Pavarde320      3   10    7    9    6           5
Vardas321   Pavarde321      2    7   10    8    4           3
Vardas322   Pavarde322      6    9    7    0    4           3
Vardas323   Pavarde323      7    2    6    2   10           0
Vardas324   Pavarde324      7    1    6   10    3           5
Vardas325   Pavarde325      8    7    7    7    4           2
Vardas326   Pavarde326     10    4    9    9    0           7
Vardas327   Pavarde327     10    3    9    9    3          10
Vardas328   Pavarde328      5   10    1    7    1           7
Vardas329   Pavarde329      2    6    9    2    0           4
Vardas330   Pavarde330      4    7    9    6    0           8
Vardas331   Pavarde331     10    6    3    9    7           4
Vardas332   Pavarde332      0    0    1    9    6           2
Vardas333   Pavarde333      9    9    6    5    9           7
Vardas334   Pavarde334      7   10    9    5    7           6
Vardas335   Pavarde335      7    9   10   10    2           7
Vardas336   Pavarde336     10    1    3    4    9           0
Vardas337   Pavarde337      2    8    6    7    5           9
Vardas338   Pavarde338      2    7    3    5    4           5
Vardas339   Pavarde339      7    9    1    2   10           6
Vardas340   Pavarde340      9    1    9    4    3           8
Vardas341   Pavarde341      4    2   10    5    7           1
Vardas342   Pavarde342      8    1   10    0    5           3
Vardas343   Pavarde343      2   10    4    2    1           3
Vardas344   Pavarde344      4   10    2    3    2           7
Vardas345   Pavarde345      5    0   10    8   10           9
Vardas346   Pavarde346      4    3    6    2    1           7
Vardas347   Pavarde347      4    9   10    8    6           3
Vardas348   Pavarde348     10    4    2    2    0           9
Vardas349   Pavarde349     10    4    9    9   10           8
Vardas350   Pavarde350      5    1    7    2    9           8
Vardas351   Pavarde351      4    9    6    3    5           4
Vardas352   Pavarde352      4    2    9    7    6           2
Vardas353   Pavarde353      9    1   10    9   10           6
Vardas354   Pavarde354      1    0    1    0   10           6
Vardas355   Pavarde355      9    3    2    3    2           6
Vardas356   Pavarde356      1    1    3    7   10           3
Vardas357   Pavarde357      6    1    8    9    0           9
Vardas358   Pavarde358      3    0    1    9    2           6
Vardas359   Pavarde359      9    2    1   10   10           6
Vardas360   Pavarde360     10    7    6    1    7           9
Vardas361   Pavarde361      7    0    0    0    0           7
Vardas362   Pavarde362      0    6    8    8    5          10
Vardas363   Pavarde363      0    1    4    3    8           8
Vardas364   Pavarde364      0    5    5    8    1           2
Vardas365   Pavarde365      9    8    6    8    6           4
Vardas366   Pavarde366      9    3    7    4    8           2
Vardas367   Pavarde367      7   10    3    5   10           2
Vardas368   Pavarde368      9    5    4    0    9           7
Vardas369   Pavarde369      1    8    7    0    9           1
Vardas370   Pavarde370      1    8    8   10    9           8
Vardas371   Pavarde371      4    0    3    1    1           6
Vardas372   Pavarde372      3    5    1    3    8           0
Vardas373   Pavarde373      0    2    1    8    7           5
Vardas374   Pavarde374      1    1    3    2   10           3
Vardas375   Pavarde375      5    2    7    8    7           7
Vardas376   Pavarde376      2    4    2    3    0           7
Vardas377   Pavarde377      1    8    5    8    0           3
Vardas378   Pavarde378     10    3    1    3    5           8
Vardas379   Pavarde379      8    5    1    6    7           6
Vardas380   Pavarde380     10    8    7   10    3           8
Vardas381   Pavarde381      7    8    5    2    8          10
Vardas382   Pavarde382      0    1    2    8    5           9
Vardas383   Pavarde383      6    7    9    7    6           7
Vardas384   Pavarde384     10    4    2    9    3           4
Vardas385   Pavarde385      4    4    7    6    8           3
Vardas386   Pavarde386      6    2    5    4    5           2
Vardas387   Pavarde387      1    4    1    5    3           5
Vardas388   Pavarde388      8    6    4    7    5           7
Vardas389   Pavarde389      0    0    6    3    4           4
Vardas390   Pavarde390      4    7    6    5    9           6
Vardas391   Pavarde391      4    9    6    3    5           0
Vardas392   Pavarde392      2    9    5    1    8           3
Vardas393   Pavarde393      0   10    3   10    8           7
Vardas394   Pavarde394      0    9    7    0    1           3
Vardas395   Pavarde395      7    4    0    7    2           6
Vardas396   Pavarde396      0    9    7    0    2           2
Vardas397   Pavarde397      8    2    0    9    8           5
Vardas398   Pavarde398      7    2    3    8    6           3
Vardas399   Pavarde399     10   10    1    0    9           8
Vardas400   Pavarde400      5    8    1    2   10           1
Vardas401   Pavarde401      0    9    5    7    5           5
Vardas402   Pavarde402      6    4    0    9    3           3
Vardas403   Pavarde403      2    7    7    5    5           1
Vardas404   Pavarde404      1   10    1   10    1           1
Vardas405   Pavarde405      7    3    4    8    3           9
Vardas406   Pavarde406      1    6    5    3    9          10
Vardas407   Pavarde407     10    2    4    2    2           8
Vardas408   Pavarde408      7   10   10    3    5          10
Vardas409   Pavarde409      9    0    4    2    6           9
Vardas410   Pavarde410      5    1    0    3   10           1
Vardas411   Pavarde411      6    1    2    7   10           1
Vardas412   Pavarde412      4    9    2    9    5           4
Vardas413   Pavarde413      1    6    6    5    4           6
Vardas414   Pavarde414      1    8    0    1    0           6
Vardas415   Pavarde415      2    9   10    7    1           0
Vardas416   Pavarde416     10    5   10    5    1           9
Vardas417   Pavarde417      2    0    7    2    8           1
Vardas418   Pavarde418      7    0    4    4    6           9
Vardas419   Pavarde419     10    0    1    5    5          10
Vardas420   Pavarde420      0    3    9    7   10           2
Vardas421   Pavarde421      9    3    9    6    6           7
Vardas422   Pavarde422      2    7    6    0    5           0
Vardas423   Pavarde423      5    8    2    4    9           3
Vardas424   Pavarde424     10    6    2   10    1           9
Vardas425   Pavarde425      7    9    4    9    1           1
Vardas426   Pavarde426     10    1   10   10    8           9
Vardas427   Pavarde427      4   10    7    7    7           9
Vardas428   Pavarde428     10    2    6   10    0           7
Vardas429   Pavarde429      8    7    9    5    2           6
Vardas430   Pavarde430      7    0    4    4    5           2
Vardas431   Pavarde431      5    2    5    1    3           1
Vardas432   Pavarde432      6    7    8    9    3           0
Vardas433   Pavarde433      3    1    6    4    9           1
Vardas434   Pavarde434      1    1    6    4   10           9
Vardas435   Pavarde435      5    2    8    6    0          10
Vardas436   Pavarde436      8    9    0    1    2          10
Vardas437   Pavarde437      3    3    8    0    1           9
Vardas438   Pavarde438      1    1    9    9    6           9
Vardas439   Pavarde439      3    8    6    2    1           9
Vardas440   Pavarde440      9    8    7    6    7           4
Vardas441   Pavarde441      3    1    0    6    4           0
Vardas442   Pavarde442     10    9    6    0    6           2
Vardas443   Pavarde443     10    1    5   10    3           5
Vardas444   Pavarde444      4    2    2    2    8           8
Vardas445   Pavarde445      5    1    1    2   10           1
Vardas446   Pavarde446      9   10    0    5    9           8
Vardas447   Pavarde447      7    9    0    0    8           4
Vardas448   Pavarde448      7    7    6    9    3           8
Vardas449   Pavarde449      8    5    6    2    2           3
Vardas450   Pavarde450      2    5    3    3    9           0
Vardas451   Pavarde451     10    8    0    5    4           0
Vardas452   Pavarde452      1    5    4    5    5          10
Vardas453   Pavarde453      7    8    5    0    5           0
Vardas454   Pavarde454     10    0    2    9    8           2
Vardas455   Pavarde455      3   10    5    8    8           8
Vardas456   Pavarde456      9    4    2    9    6           1
Vardas457   Pavarde457      7    2    6    5    0           2
Vardas458   Pavarde458      6    6    7    4    6           7
Vardas459   Pavarde459      7    0    8    4   10          10
Vardas460   Pavarde460      9    5    1    6    6           3
Vardas461   Pavarde461      7    8    3    8    1          10
Vardas462   Pavarde462      2    8   10    3    8          10
Vardas463   Pavarde463      1    2    3    1    2           3
Vardas464   Pavarde464      1    4    6    6    0           8
Vardas465   Pavarde465      2    6    0    0    6           8
Vardas466   Pavarde466      1    1    0   10   10           4
Vardas467   Pavarde467      2    8    4    8    9           8
Vardas468   Pavarde468      1   10    2    1    3           9
Vardas469   Pavarde469      7    3   10    1    7           9
Vardas470   Pavarde470      8    3    1    0    9           1
Vardas471   Pavarde471      4    9    3    0    8           7
Vardas472   Pavarde472     10    6    4    4    4           9
Vardas473   Pavarde473      5    5    9    3    5           3
Vardas474   Pavarde474      4    7    3    1    1           8
Vardas475   Pavarde475      8    5    2   10    4           8
Vardas476   Pavarde476      8    9    0    6    1           8
Vardas477   Pavarde477      4    7    1    1    1           3
Vardas478   Pavarde478      0    8   10    9    0           8
Vardas479   Pavarde479      9    0    1    7    5           5
Vardas480   Pavarde480      1    8    0    9    1          10
Vardas481   Pavarde481      4    5    0    2   10           0
Vardas482   Pavarde482      5    1    5    3    3           5
Vardas483   Pavarde483      6    0    8    9    1           1
Vardas484   Pavarde484      9    5    3    5    9           3
Vardas485   Pavarde485      4    9    7    4    0           4
Vardas486   Pavarde486      9    0    6    6    3           9
Vardas487   Pavarde487      7    0    4    1    5           9
Vardas488   Pavarde488     10    3    4    0    2           8
Vardas489   Pavarde489      7    8    0    9    7           9
Vardas490   Pavarde490      7    8    1   10    1           9
Vardas491   Pavarde491     10    4    7    5    4           1
Vardas492   Pavarde492      7    7    3    4    9           7
Vardas493   Pavarde493      1    5    1    0    2           8
Vardas494   Pavarde494     10    0    2    0    3           8
Vardas495   Pavarde495      0    1   10    2    8           8
Vardas496   Pavarde496      1    8    7    7    1           6
Vardas497   Pavarde497      3    6    5    3    0           0
Vardas498   Pavarde498      0    0    2    7    5           6
Vardas499   Pavarde499      4    1    1    4    7          10
Vardas500   Pavarde500      1    7    7    8    3           6
Vardas501   Pavarde501      1    4    0   10    9          10
Vardas502   Pavarde502      5    2    5    9    8           4
Vardas503   Pavarde503      7    1    5    0    2           1
Vardas504   Pavarde504      2    5    1    5    6           8
Vardas505   Pavarde505      1    0    5   10    3           6
Vardas506   Pavarde506      1    5    2    0    8           7
Vardas507   Pavarde507      2    6    9    1    2           9
Vardas508   Pavarde508      9    2    4    9    8           9
Vardas509   Pavarde509      2    7    2    2    4           6
Vardas510   Pavarde510      6    7    6    7    1           3
Vardas511   Pavarde511      6    4    8    6    9           7
Vardas512   Pavarde512      3    6    3    4    1          10
Vardas513   Pavarde513      2    5    4    0    2           8
Vardas514   Pavarde514      4    5    0   10    0           9
Vardas515   Pavarde515      4    3    0    3    9           1
Vardas516   Pavarde516      9    6    3    7   10           4
Vardas517   Pavarde517     10    4    8    4   10           9
Vardas518   Pavarde518      2    9    2    5    6           9
Vardas519   Pavarde519      4    5    6    8    8           9
Vardas520   Pavarde520      9    2    8   10    5           0
Vardas521   Pavarde521      4    4    9   10    0           6
Vardas522   Pavarde522      2    8   10    5   10           4
Vardas523   Pavarde523      7    0    7    5    0           4
Vardas524   Pavarde524      0    7    8    7   10           9
Vardas525   Pavarde525      9    9    8    8    7           9
Vardas526   Pavarde526      5    5    8    5    5           4
Vardas527   Pavarde527      3    6    9    3    2           5
Vardas528   Pavarde528      3    9    0    3    3           8
Vardas529   Pavarde529      9    3    2    1    4           5
Vardas530   Pavarde530      5    4   10    7    3           7
Vardas531   Pavarde531      3    5    6   10    9           1
Vardas532   Pavarde532      0    9    8    6   10           1
Vardas533   Pavarde533      7    4    3    7    8           8
Vardas534   Pavarde534      9    4    4    0    0           4
Vardas535   Pavarde535     10    6    8    8    8           7
Vardas536   Pavarde536      4    9    1    2    2           2
Vardas537   Pavarde537     10    9    2    9    9           9
Vardas538   Pavarde538      0    1    1    9    8           5
Vardas539   Pavarde539      3    0    7    4    7           7
Vardas540   Pavarde540      7    7    5    1    5          10
Vardas541   Pavarde541      3    2    7    1    4           9
Vardas542   Pavarde542      0    0    6    1    3           5
Vardas543   Pavarde543      9    2   10    1    2           2
Vardas544   Pavarde544      3    5    9    7    3           2
Vardas545   Pavarde545      3    2    2    4    4           3
Vardas546   Pavarde546      9    0    3    0    0           9
Vardas547   Pavarde547      1    3    8   10    5           6
Vardas548   Pavarde548      6    6    6   10    3           6
Vardas549   Pavarde549      7    3    2    8   10           6
Vardas550   Pavarde550      9    5    4    9    3           9
Vardas551   Pavarde551      5    9    5    5   10           0
Vardas552   Pavarde552      1    9    4    6    8           7
Vardas553   Pavarde553      3   10    7    9   10           5
Vardas554   Pavarde554      2    8    1    8    0           6
Vardas555   Pavarde555      4    2    7    0    5           5
Vardas556   Pavarde556      7    1    1    9   10           0
